date,regn,Assets,Loans_Total_Net,Loans_LLP,Equity,Net_Income_Current,Client_Deposits,Net_Interest_Income,month,flag_equity_negative,flag_loans_negative,flag_deposits_negative,flag_assets_negative,flag_llp_exceeds_net,flag_llp_positive_sign,profit_month,profit_12m,equity_avg_13,equity_any_neg_in_window,ROE_12m,ROE_12m_flow_check,loans_avg_Q,loans_any_neg_in_Q,LoanYield_3m,Loans_Gross,LDR,flag_roe_outlier,flag_yield_outlier,flag_ldr_outlier
2022-12-01,bank_14,1076570.1,574497.0,-29691.9,61863.9,6785.5,902297.3,,12,False,False,False,False,False,False,1197.6000000000004,9829.099999999999,57557.38461538462,False,0.1707704418065716,0.6276553432961887,548327.225,False,,604188.9,0.6696117787341268,False,False,False
2023-01-01,bank_14,1135733.7,579784.3,-28602.0,64185.8,8875.9,931548.0,3003.7,1,False,False,False,False,False,False,2090.3999999999996,8875.9,58302.79230769231,False,0.15223799150403536,0.5992405958126032,561649.4750000001,False,0.021391990084206874,608386.3,0.6530917354768622,False,False,False
2023-02-01,bank_14,1090497.7,574002.5,-27871.2,67369.6,1515.8,894771.3,,2,False,False,False,False,False,False,1515.8,10374.9,59030.45384615385,False,0.17575504377857634,0.617247498976734,570981.375,False,,601873.7,0.6726564654007118,False,False,False
2023-03-01,bank_14,1088416.3,572632.2,-27790.9,68197.8,2806.7,939743.2,,3,False,False,False,False,False,False,1290.8999999999999,11986.099999999999,59926.63846153846,False,0.20001288755238295,0.65991687528713,575229.0,False,,600423.1,0.6389225269201203,False,False,False
2023-04-01,bank_14,1096132.4,587292.8,-28342.0,69384.8,4341.4,887766.2,3183.7,4,False,False,False,False,False,False,1534.6999999999998,11632.3,60969.153846153844,False,0.19078992024971012,0.6938426619261443,578427.95,False,0.022016225184139183,615634.8,0.6934650136488639,False,False,False
2023-05-01,bank_14,1094708.1,600717.5,-28198.3,69265.7,4752.6,913525.3,,5,False,False,False,False,False,False,411.2000000000007,13033.6,61947.7,False,0.21039683474931276,0.7499987893012978,583661.25,False,,628915.8,0.6884492416356723,False,False,False
2023-06-01,bank_14,1126375.4,598889.0,-28939.8,69575.3,5210.8,947991.3,,6,False,False,False,False,False,False,458.1999999999998,13679.900000000001,63023.06923076923,False,0.21706178653262378,0.813427537340112,589882.875,False,,627828.8,0.6622727444861572,False,False,False
2023-07-01,bank_14,1166930.2,609477.7,-29309.2,70095.2,5818.9,984582.5,3929.4,7,False,False,False,False,False,False,608.0999999999995,13386.099999999999,64123.2,False,0.2087559572822317,0.8698084312698057,599094.25,False,0.026235604831793997,638786.8999999999,0.6487896138718695,False,False,False
2023-08-01,bank_14,1169333.9,615105.2,-30061.8,69259.3,6582.4,978197.7,,8,False,False,False,False,False,False,763.5,13243.699999999999,65050.915384615386,False,0.20358975614249616,0.9245480965856449,606047.35,False,,645167.0,0.6595466335690628,False,False,False
2023-09-01,bank_14,1191258.7,643633.0,-30903.6,69144.7,,965686.9,,9,False,False,False,False,False,False,,,65931.23846153847,False,,,616776.225,False,,674536.6,0.6985044531514303,False,False,False
2023-10-01,bank_14,1178714.2,632446.1,-31007.3,68430.9,8791.7,955461.0,3607.2,10,False,False,False,False,False,False,,,66709.86153846154,False,,,625165.5,False,0.02307996842436123,663453.4,0.6943804090381502,False,False,False
2023-11-01,bank_14,1138536.8,640545.7,-30951.1,68044.1,9114.2,941658.0,,11,False,False,False,False,False,False,322.5,,67342.31538461539,False,,,632932.5,False,,671496.7999999999,0.7131005099515959,False,False,False
2023-12-01,bank_14,1149263.1,665922.7,-30726.9,69417.5,9309.3,956603.5,,12,False,False,False,False,False,False,195.09999999999854,,68018.04615384615,False,,,645636.875,False,,696649.6,0.7282532418081263,False,False,False
2024-01-01,bank_14,1116530.8,659384.9,-32605.0,70356.8,9608.8,945256.6,1639.6,1,False,False,False,False,False,False,299.5,,68671.34615384616,False,,,649574.85,False,0.01009645000880191,691989.9,0.732065663439959,False,False,False
2024-02-01,bank_14,1124195.8,656752.0,-32947.2,69766.0,466.2,975897.0,,2,False,False,False,False,False,False,466.2,,69100.5923076923,False,,,655651.325,False,,689699.2,0.7067335999598318,False,False,False
2024-03-01,bank_14,1114695.3,677710.2,-32769.5,69305.5,593.1,953252.5,,3,False,False,False,False,False,False,126.90000000000003,,69249.50769230768,False,,,664942.45,False,,710479.7,0.7453216225501638,False,False,False
2024-04-01,bank_14,1116614.3,679982.9,-33493.5,69099.6,1030.8,960442.1,986.9,4,False,False,False,False,False,False,437.69999999999993,,69318.87692307692,False,,,668457.5,False,0.005905536253239735,713476.4,0.7428624796851367,False,False,False
2024-05-01,bank_14,1099017.5,700675.5,-33351.8,65116.7,1136.1,964936.9,,5,False,False,False,False,False,False,105.29999999999995,,68990.56153846154,False,,,678780.15,False,,734027.3,0.7606997929087385,False,False,False
2024-06-01,bank_14,1179573.3,718918.0,-33345.4,64444.4,1706.8,959874.4,,6,False,False,False,False,False,False,570.7,,68619.69230769231,False,,,694321.65,False,,752263.4,0.7837102437568916,False,False,False
2024-07-01,bank_14,1098018.3,711442.7,-32781.9,66006.7,3214.2,936931.3,1068.1,7,False,False,False,False,False,False,1507.3999999999999,,68345.18461538461,False,,,702754.775,False,0.006079503337419514,744224.6,0.7943214192972312,False,False,False
2024-08-01,bank_14,1162809.3,731700.0,-32845.2,64971.5,4171.0,947818.7,,8,False,False,False,False,False,False,956.8000000000002,,67951.05384615385,False,,,715684.0499999999,False,,764545.2,0.8066365434655383,False,False,False
2024-09-01,bank_14,1211924.0,763135.9,-33204.2,64945.4,4498.6,975005.9,,9,False,False,False,False,False,False,327.60000000000036,,67619.21538461538,False,,,731299.1499999999,False,,796340.1,0.8167541345134424,False,False,False
2024-10-01,bank_14,1272345.7,789961.2,-33972.4,64921.6,4916.9,954655.9,762.8,10,False,False,False,False,False,False,418.2999999999993,5733.999999999998,67294.36153846154,False,0.08520773314303276,0.7395270400411875,749059.95,False,0.004073372231421531,823933.6,0.8630686721781115,False,False,False
